Tune;PdfPage;Length
Affirmation;16;1
Airegin;17;1
All Of Me;18;1
All The Things You Are;19;1
Always There;20;2
Ana Maria;22;2
Angel Eyes;24;2
Anthropology;26;1
Autumn Leaves;27;1
Baby I Love You;28;2
Basin Street Blues;30;1
Beautiful Love;31;1
Bernie's Tune;32;1
Bird Food;33;1
Black Ice;34;2
Black Narcissus;36;1
Blame It On My Youth;37;1
Blizzard Of Lies;38;2
Blue Bossa;40;1
Blue Daniel;41;1
Blues Connotation;42;1
Blues On The Corner;43;1
Boogie Down;44;6
Both Sides Of The Coin;50;2
Bouncin' With Bud;52;2
Breakfast Wine;54;2
Breakin' Away;56;3
But Beautiful;59;1
Chain Of Fools;60;2
Change Of Mind;62;2
Chega De Saudade;64;2
Chelsea Bridge;66;1
Come Sunday;67;1
Compared To What;68;3
Creek;71;1
Crystal;72;2
Cubano Chant;74;2
Darn That Dream;76;1
Dearly Beloved;77;1
Delevans;78;2
Desafinado;80;2
Desire;82;3
Dig;85;1
Dindi;86;3
Don't Go To Strangers;89;1
Doors;90;1
Early Autumn;91;1
Easy;92;2
Eighty One;94;2
Elm;96;2
Endangered Species;98;7
E.S.P.;105;1
Everything Happens To Me;106;2
Fall;108;1
Farmers Market;109;1
Favela;110;1
Feel Like Makin' Love;111;1
Fire;112;1
First Light;113;1
Foolkiller;114;1
Footprints;115;1
Four;116;2
Four Brothers;118;1
Four On Six;119;1
Friends And Strangers;120;3
Funkallero;123;1
Gaviota;124;3
Gee Baby Ain't I Good To You;127;1
Gemini;128;5
Gloria's Step;133;1
Goin' Home;134;5
Gone With The Wind;139;1
The Goodbye Look;140;4
Giaruja;144;2
Hallucinations;146;3
Haunted Ballroom;149;1
Havona;150;2
Here's That Rainy Day;152;2
Hideaway;154;3
I Love Lucy;157;1
Mean You;158;2
I Should Care;160;1
I Thought About Your;161;1
If I Were A Bell;162;3
If You Never Come To Me;165;1
I'll Take Romance;166;2
I'm All Smiles;168;2
I'm Old Fasihoned;170;1
Imagination;171;2
In Walked Bud;173;1
The Island;174;2
It Happens Every Day;176;3
Jersey Bounce;179;1
Joshua;180;2
Keep That Same Old Feeling;182;3
Killing Me Softly With His Song;185;1
La Samba;186;2
La Vida Feliz;188;4
Lady Bird;192;2
Last First;194;2
Last Train From Overbrook;196;1
Laurie;197;1
Let Me Be The One;198;2
Let's Go Dancin';200;2
Like Someone In Love;202;1
Line For Lyons;203;1
Little Sunflower;204;1
Little Tear (A);205;1
Little Waltz;206;1
Long Ago And Far Away;207;1
Love Came On Stealthy Fingers;208;2
Love Dance;210;2
Lush Life;212;2
Madagascar;214;3
Make Me A Memory (Sade Samba);217;1
Matinee Idol;218;2
Mercy Mercy Mercy;220;2
The Midnight Sun;222;1
The Midnight Sun Will Never Set;223;1
Modadji;224;3
Monk's Mood;227;1
Monkey's Uncle;228;5
Moonlight In Vermont;233;1
Mornin';234;2
Morning Dance;236;2
Mr. Clean;238;2
Mr. Gone;240;2
My Attorney Bernie;242;2
My Romance;244;1
My Shining Hour;245;1
Nature Boy;246;1
Nefertiti;247;1
Never Givin' Up;248;4
Never Make Your Move Too Soon;252;2
Nigerian Marketplace;254;1
Night Lake;255;1
No Me Esqueca;256;2
Not Ethiopia;258;2
Nothing Personal;260;2
Off Minor;262;2
Oleo;264;1
Once I Loved;265;1
One Family;266;2
One For My Baby(And One More For The Road);268;2
Out Of This World;270;2
Oz;272;2
Papa Lips;274;2
Partido Alto;276;4
Pent Up House;280;2
Plaza Real;282;6
Polkadots And Moonbeams;288;2
Portrait Of Tracy;290;2
Promenade;292;2
Put It Where You Want It;294;2
P.Y.T.(Pretty Young Thing);296;2
Quintessence;298;1
Rapture;299;2
Re: Person I Knew;301;1
Reincarna11on Of A Lovebird;302;3
Remember Rockefeller At Attica;305;1
Rio;306;3
River People;309;3
Robbin's Nest;312;2
Ruby My Dear;314;2
Rush Hour;316;2
Safari;318;4
Sandu;322;1
Satin Doll;323;1
Save Your Love For Me;324;3
Search For Peace;327;1
Self Portrait In Three Colors;328;2
Shaker Song;330;2
Shaw 'Nuff;332;2
Simple Samba;334;2
Skylark;336;1
Sleepin' Bee;337;1
Small Day Tomorrow;338;2
Solar;340;1
Someday My Prince Will Come;341;1
Song For Lorraine;342;2
The Song Is You;344;2
Sonja's Sanfona;346;4
Soul Sauce (Wachi Wara);350;1
Speak No Evil;351;1
Spiral;352;3
St. Thomas;355;1
Sticky Wicket;356;4
Street Life;360;3
Sudden Samba;363;1
Sunrunner;364;2
"Take The ""A"" Train";366;2
Tenderly;368;1
Theme For Ernie;369;1
There Will Never Be Another You;370;1
These Foolish Things;371;2
This Masquerade;373;1
The Three Marias;374;8
Three Views Of A Secret;382;2
Time Remembers One Time Once;384;1
Triste;385;2
Tune Up;387;1
Turn Your Love Around;388;2
Twisted;390;2
Unit Seven;392;3
Up Jumped Spring;395;1
Up With The Lark;396;2
Velas (Velas Icadas);398;2
Very Early;400;1
Voyage;401;1
Waltz For Debby;402;2
Waltz New;404;1
Watch What Happens;405;1
Waterwings;406;2
Wave;408;2
The Way You Look Tonight;410;3
Weaver Of Dreams (A);413;1
We'll Be Together Again;414;1
Well You Needn't;415;1
West Coast Blues;416;1
What's New?;417;1
Where Is Love?;418;1
Who Can I Turn To?;419;1
Wildflower;420;1
Willow Weep For Me;421;1
Witchcraft;422;1
